Category,Data_Alpha_Carotene,Data_Beta_Carotene,Data_Beta_Cryptoxanthin,Data_Carbohydrate,Data_Cholesterol,Data_Choline,Data_Fiber,Data_Lutein_and_Zeaxanthin,Data_Lycopene,Data_Niacin,Data_Protein,Data_Retinol,Data_Riboflavin,Data_Selenium,Data_Sugar_Total,Data_Thiamin,Data_Water,Data_Fat_Monosaturated_Fat,Data_Fat_Polysaturated_Fat,Data_Fat_Saturated_Fat,Data_Fat_Total_Lipid,Data_Major_Minerals_Calcium,Data_Major_Minerals_Copper,Data_Major_Minerals_Iron,Data_Major_Minerals_Magnesium,Data_Major_Minerals_Phosphorus,Data_Major_Minerals_Potassium,Data_Major_Minerals_Sodium,Data_Major_Minerals_Zinc,Data_Vitamins_Vitamin_A___RAE,Data_Vitamins_Vitamin_B12,Data_Vitamins_Vitamin_B6,Data_Vitamins_Vitamin_C,Data_Vitamins_Vitamin_E,Data_Vitamins_Vitamin_K
Alfredo sauce with poultry and added vegetables,2.0,93.0,18.0,1.88,45.0,19.2,0.3,98.0,0.0,2.068,7.03,100.0,0.116,7.5,1.16,0.032,78.95,2.82,0.743,6.256,10.76,48.0,0.057,0.32,11.0,88.0,133.0,416.0,0.63,109.0,0.23,0.131,8.2,0.37,1.6
Alfredo sauce with seafood,0.0,22.0,0.0,1.76,66.0,22.9,0.0,0.0,0.0,0.127,6.11,142.0,0.069,11.4,0.72,0.009,77.63,3.116,0.614,7.78,12.56,74.0,0.042,0.49,10.0,90.0,98.0,545.0,0.5,143.0,1.92,0.015,0.5,0.52,1.1
Alfredo sauce with seafood and added vegetables,2.0,93.0,18.0,2.43,57.0,24.0,0.3,98.0,0.0,0.461,6.04,112.0,0.091,11.6,1.16,0.02,80.05,2.391,0.52,5.974,9.74,64.0,0.072,0.58,12.0,91.0,145.0,440.0,0.52,120.0,1.9,0.046,8.6,0.54,1.6
Almond butter,0.0,1.0,0.0,18.82,0.0,52.1,10.3,1.0,0.0,3.155,20.96,0.0,0.939,2.4,6.27,0.041,1.64,32.445,13.613,6.55,55.5,347.0,0.934,3.49,279.0,508.0,748.0,171.0,3.29,0.0,0.0,0.103,0.0,24.21,0.0
Almond chicken,2.0,160.0,41.0,4.69,57.0,39.9,1.2,50.0,0.0,4.616,16.07,4.0,0.212,12.7,1.44,0.051,64.65,6.401,3.938,1.969,13.3,36.0,0.143,0.87,38.0,172.0,260.0,335.0,1.16,19.0,0.21,0.181,10.9,2.8,14.6
Almond milk,0.0,0.0,0.0,4.0925,0.0,3.025,0.25,0.0,0.0,0.071,0.4175,87.25,0.0104999999999999,0.125,3.5275,0.0,93.75,0.57975,0.23375,0.08975,0.96,179.0,0.025,0.2925,6.5,10.0,67.25,70.0,0.07,87.25,0.0,0.0,0.0,2.73,0.0
Almond oil,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,17.4,8.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,7.0
Almond paste,0.0,0.0,0.0,47.81,0.0,28.5,4.8,1.0,0.0,1.422,9.0,0.0,0.414,4.2,36.25,0.082,14.08,18.012,5.821,2.629,27.74,172.0,0.454,1.6,130.0,258.0,314.0,9.0,1.48,0.0,0.0,0.036,0.1,13.54,0.0
Almonds,0.0,1.0,0.0,30.538,0.8,45.34,9.06,1.0,0.0,2.9079,17.683,1.9,0.9569,2.55,17.02,0.0985,2.663,27.4286,11.1692,5.453,46.127,233.1,0.9028,3.132,228.8,395.2,604.4,155.9,2.764,1.9,0.0579999999999999,0.1148,0.03,20.286,3.26
Aloe vera juice drink,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,96.23,0.0,0.0,0.0,0.0,8.0,0.0,0.15,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0
Ambrosia,11.0,49.0,55.0,16.16,0.0,7.8,2.3,66.0,0.0,0.424,0.9,0.0,0.044,0.7,11.62,0.071,81.51,0.056,0.047,0.748,0.96,24.0,0.078,0.24,15.0,16.0,200.0,1.0,0.12,7.0,0.0,0.138,40.1,0.12,0.3
Anchovy,0.0,0.0,0.0,0.0,85.0,85.0,0.0,0.0,0.0,19.903,28.89,12.0,0.363,68.1,0.0,0.078,50.3,3.77,2.562,2.203,9.71,232.0,0.339,4.63,69.0,252.0,544.0,3668.0,2.44,12.0,0.88,0.203,0.0,3.33,12.1
Animal fat or drippings,0.0,0.0,0.0,0.0,93.0,53.2,0.0,0.0,0.0,0.32,2.23,0.0,0.01,1.8,0.0,0.006,3.91,41.249,10.052,35.58,92.18,5.0,0.008,0.23,1.0,13.0,21.0,604.0,0.34,0.0,0.19,0.029,0.0,0.64,0.6
Anisette toast,0.0,4.0,1.0,74.2,8.0,10.7,2.5,16.0,0.0,1.319,10.1,15.0,0.239,28.7,12.5,0.208,4.5,4.244,2.073,2.525,9.7,20.0,0.145,0.6,14.0,55.0,305.0,227.0,0.54,16.0,0.0,0.082,5.3,2.44,0.9
Antipasto with ham,1032.0,2293.0,5.0,3.88,39.0,28.9,1.1,217.0,0.0,3.36,11.62,54.0,0.179,18.9,1.51,0.108,70.61,3.746,1.078,4.634,10.69,178.0,0.073,0.86,22.0,181.0,244.0,869.0,1.47,288.0,0.5,0.169,1.5,1.03,8.4
Apple,0.0,19.5,7.25,33.0025,2.5,7.525,3.85,23.75,0.0,0.305,0.7125,6.75,0.074,0.45,27.685,0.0175,64.3125,0.31125,0.303,0.633,1.42,18.25,0.06825,0.4574999999999999,8.75,24.75,201.25,38.5,0.1075,8.75,0.0225,0.064,4.0,0.3075,2.475
Apple cider,0.0,0.0,0.0,11.3,0.0,1.8,0.2,16.0,0.0,0.073,0.1,0.0,0.017,0.1,9.62,0.021,88.24,0.006,0.039,0.022,0.13,8.0,0.012,0.12,5.0,7.0,101.0,4.0,0.02,0.0,0.0,0.018,0.9,0.01,0.0
Apple juice,0.0,2.0,1.5,11.3975,0.0,1.8,0.25,12.0,0.0,0.07575,0.07,0.0,0.017,0.1,9.6975,0.013,88.115,0.00525,0.03825,0.02175,0.125,52.25,0.018,0.255,4.75,7.25,117.0,5.0,0.03,0.25,0.0,0.02375,29.925,0.155,0.0
Apple juice beverage,0.0,0.0,0.0,5.1,0.0,1.8,0.0,16.0,0.0,0.067,0.0,0.0,0.015,0.1,4.8,0.004,94.84,0.0,0.0,0.0,0.1,3.0,0.01,0.2,5.0,9.0,51.0,13.0,0.04,0.0,0.0,0.018,24.0,0.01,0.0
Apple pie filling,0.0,10.0,8.0,26.1,0.0,2.8,1.0,11.0,0.0,0.035,0.1,0.0,0.011,0.3,13.8,0.012,73.4,0.0,0.0,0.0,0.1,4.0,0.055,0.29,2.0,7.0,45.0,47.0,0.04,2.0,0.0,0.016,1.7,0.04,0.5
Apple salad with dressing,0.0,42.0,7.0,12.15,5.0,10.2,2.1,50.0,0.0,0.182,1.48,2.0,0.043,0.7,8.89,0.047,71.84,2.719,8.835,1.906,13.92,16.0,0.15,0.37,16.0,37.0,144.0,86.0,0.27,6.0,0.02,0.081,3.5,0.61,26.3
Apple yogurt dessert,0.0,7.0,5.0,19.5,6.0,5.4,0.5,7.0,0.0,0.0,0.8,2.0,0.05,0.7,12.02,1.56,77.9,0.438,0.044,1.034,1.6,6.0,0.05,0.0,15.0,31.0,70.0,20.0,0.28,3.0,0.5,0.02,35.1,0.02,0.2
Apple-banana juice,3.0,4.0,0.0,12.3,0.0,2.3,0.2,16.0,0.0,0.14,0.2,0.0,0.01,0.3,11.0,0.01,87.1,0.004,0.034,0.018,0.1,7.0,0.02,0.2,6.0,8.0,123.0,4.0,0.04,0.0,0.0,0.06,27.9,0.02,0.0
Apple-cherry juice,0.0,11.0,0.0,11.2,0.0,1.9,0.3,21.0,0.0,0.11,0.2,0.0,0.02,0.1,10.5,0.01,88.2,0.0,0.03,0.02,0.1,7.0,0.02,0.35,3.0,12.0,110.0,4.0,0.03,1.0,0.0,0.03,32.1,0.02,0.2
Apple-fruit juice blend,1.0,8.0,2.0,18.1,0.0,1.8,0.1,22.0,0.0,0.301,0.2,0.0,0.002,0.3,10.58,0.005,81.3,0.006,0.031,0.018,0.1,9.0,0.062,0.95,7.0,15.0,148.0,8.0,0.05,1.0,0.0,0.035,67.5,0.05,1.3
Apple-grape juice,0.0,2.0,0.0,11.34,0.0,1.9,0.1,0.0,0.0,0.109,0.1,0.0,0.021,0.1,10.9,0.007,88.1,0.009,0.059,0.04,0.2,6.0,0.078,0.39,6.0,5.0,90.0,0.0,0.04,0.0,0.0,0.034,31.5,0.0,0.0
Apple-peach juice,0.0,31.0,13.0,10.5,0.0,2.5,0.1,29.0,0.0,0.213,0.2,0.0,0.011,0.3,9.59,0.008,89.0,0.002,0.031,0.018,0.1,3.0,0.037,0.56,3.0,4.0,97.0,0.0,0.03,3.0,0.0,0.022,58.5,0.15,0.5
Apple-prune juice,1.0,8.0,2.0,18.1,0.0,1.8,0.1,22.0,0.0,0.301,0.2,0.0,0.002,0.3,10.58,0.005,81.3,0.006,0.031,0.018,0.1,9.0,0.062,0.95,7.0,15.0,148.0,8.0,0.05,1.0,0.0,0.035,67.5,0.05,1.3
Apple-raspberry,0.0,14.0,7.333333333333333,15.86,0.0,3.4333333333333336,2.033333333333333,26.666666666666668,0.0,0.106,0.2,0.0,0.0326666666666666,0.3666666666666667,12.01,0.0146666666666666,83.54,0.012,0.066,0.0296666666666666,0.2,5.0,0.0546666666666666,0.2633333333333333,4.0,8.0,73.33333333333333,0.0,0.0333333333333333,1.6666666666666667,0.0,0.0363333333333333,24.2,0.1833333333333333,3.033333333333333
Apple-sweet potato juice,0.0,1849.0,0.0,11.4,0.0,4.9,0.5,6.0,0.0,0.1,0.3,0.0,0.03,0.1,9.6,0.01,87.9,0.01,0.05,0.03,0.1,15.0,0.032,0.3,7.0,14.0,137.0,5.0,0.08,154.0,0.0,0.07,34.1,0.34,0.7
Apples,0.0,11.0,2.0,11.56,0.0,3.4,1.9,5.0,0.0,0.087,0.19,0.0,0.017,0.3,10.48,0.04,87.68,0.004,0.03,0.02,0.36,4.0,0.031,0.08,4.0,8.0,86.0,2.0,0.02,1.0,0.0,0.041,64.5,0.22,0.6
Apples and chicken,0.0,13.0,10.0,10.88,5.0,9.1,1.8,16.0,0.0,0.577,2.16,0.0,0.057,2.5,6.06,0.02,85.4,0.411,0.35,0.347,1.38,18.0,0.04,0.38,6.0,32.0,95.0,12.0,0.36,2.0,0.02,0.083,0.2,0.07,0.6
Apples and pears,0.0,8.0,3.333333333333333,10.876666666666669,0.0,3.1666666666666665,2.2,25.0,0.0,0.1253333333333333,0.1999999999999999,0.0,0.028,0.4000000000000001,8.17,0.0126666666666666,88.57666666666667,0.0176666666666666,0.0313333333333333,0.0123333333333333,0.1233333333333333,6.0,0.0543333333333333,0.2333333333333333,6.0,9.333333333333334,98.0,0.6666666666666666,0.0566666666666666,0.6666666666666666,0.0,0.02,30.633333333333336,0.47,1.8
Apples and sweet potatoes,0.0,1225.0,9.0,15.3,0.0,4.4,1.4,13.0,0.0,0.1,0.3,0.0,0.02,0.3,11.6,0.01,84.0,0.008,0.079,0.041,0.22,8.0,0.09,0.2,6.0,17.0,149.0,3.0,0.1,103.0,0.0,0.05,6.4,0.16,0.8
Apples with ham,0.0,3.0,2.0,10.9,8.0,11.8,1.8,14.0,0.0,0.73,2.6,0.0,0.06,4.6,7.98,0.06,85.3,0.36,0.111,0.25,0.9,4.0,0.04,0.3,7.0,34.0,120.0,9.0,0.4,0.0,0.02,0.07,0.1,0.07,0.5
Applesauce,0.0,6.666666666666667,5.0,12.983333333333334,0.0,3.1666666666666665,1.4333333333333331,15.5,0.0,0.0689999999999999,0.1316666666666666,0.0,0.0261666666666666,0.3,11.043333333333337,0.016,86.555,0.0046666666666666,0.0343333333333333,0.0193333333333333,0.1233333333333333,3.8333333333333335,0.0335,0.1883333333333333,3.0,6.0,74.33333333333333,1.1666666666666667,0.03,0.3333333333333333,0.0,0.0286666666666666,19.75,0.3866666666666666,0.4833333333333333
Applesauce and apricots,1.6666666666666667,102.0,18.33333333333333,12.02,0.0,3.1,1.8,21.666666666666668,0.0,0.1426666666666666,0.2,0.0,0.0293333333333333,0.3,8.983333333333334,0.014,87.3,0.0336666666666666,0.0479999999999999,0.026,0.2,6.0,0.0423333333333333,0.2566666666666666,4.0,9.666666666666666,114.33333333333331,0.0,0.0366666666666666,9.666666666666666,0.0,0.03,18.4,0.1099999999999999,0.7666666666666666
Applesauce with bananas,0.0,3.0,2.0,16.16,0.0,4.9,1.6000000000000003,8.0,0.0,0.163,0.3699999999999999,0.0,0.031,0.4000000000000001,4.35,0.01,83.14,0.01,0.05,0.04,0.1,5.0,0.04,0.24,9.0,12.0,131.0,3.0,0.05,0.0,0.0,0.1,17.3,0.02,0.3
Applesauce with cherries,0.0,24.33333333333333,5.0,14.1,0.0,4.6,1.1,51.66666666666666,0.0,0.14,0.0,0.0,0.03,0.3,10.71,0.01,85.61666666666667,0.0,0.0,0.0,0.0,1.0,0.0456666666666666,0.3,4.0,8.0,132.0,1.0,0.03,2.0,0.0,0.038,42.79999999999999,0.09,1.6
Apricot,6.333333333333333,1444.3333333333333,38.0,29.203333333333333,0.0,6.133333333333333,3.6,37.66666666666666,0.0,1.184,1.8133333333333332,0.0,0.0456666666666666,0.8000000000000002,25.02333333333333,0.0213333333333333,67.40333333333332,0.1023333333333333,0.06,0.018,0.3566666666666667,25.0,0.1656666666666666,1.1166666666666667,16.0,35.333333333333336,532.6666666666666,4.666666666666667,0.23,122.0,0.0,0.0823333333333333,4.7,1.9233333333333336,2.8000000000000003
Apricot nectar,3.0,189.0,5.0,13.63,0.0,1.0,0.1,6.0,20.0,0.15,0.17,0.0,0.015,0.0,12.79,0.06,85.63,0.186,0.087,0.033,0.45,11.0,0.019,0.1,5.0,5.0,67.0,8.0,0.03,16.0,0.0,0.037,29.7,0.41,1.2
Apricots,7.0,411.6666666666667,39.0,16.8,0.0,1.2333333333333334,1.5,11.666666666666666,0.0,0.1956666666666666,0.3,0.0,0.013,0.3,1.403333333333333,0.008,82.6,0.0,0.0,0.0,0.0,8.333333333333334,0.035,0.2833333333333334,4.0,10.0,123.0,0.0,0.0433333333333333,36.0,0.0,0.0289999999999999,19.766666666666666,0.3499999999999999,0.4000000000000001
Arepa Dominicana,19.0,52.0,1.0,30.45,48.0,38.5,2.4,549.0,0.0,1.764,5.68,55.0,0.21,10.0,3.27,0.173,47.98,2.46,1.459,9.074,13.94,83.0,0.133,2.32,28.0,133.0,202.0,401.0,0.74,60.0,0.18,0.099,0.8,0.54,3.3
Armadillo,0.0,0.0,0.0,0.0,77.0,116.9,0.0,0.0,0.0,4.192,28.18,0.0,0.139,12.9,0.0,0.309,63.6,1.703,0.637,1.295,4.36,16.0,0.056,1.12,27.0,133.0,394.0,222.0,3.0,0.0,0.7,0.416,0.0,0.38,1.4
Artichoke,0.0,10.142857142857142,0.0,11.77,0.8571428571428571,33.97142857142857,5.614285714285714,457.1428571428572,0.0,1.0937142857142856,2.8514285714285714,4.285714285714286,0.0881428571428571,0.2,0.9771428571428572,0.0491428571428571,82.96142857142857,0.4104285714285714,0.4754285714285715,0.3867142857142857,1.4242857142857144,21.0,0.1252857142857142,0.6014285714285714,41.57142857142857,72.14285714285714,281.7142857142857,161.14285714285714,0.3957142857142857,5.714285714285714,0.0,0.087,7.314285714285715,0.3142857142857143,15.614285714285714
Artichoke dip,0.0,11.0,2.0,5.47,39.0,24.1,0.9,67.0,0.0,0.205,3.65,60.0,0.1,4.4,2.08,0.024,55.65,7.527,15.171,8.274,33.12,101.0,0.041,0.24,13.0,88.0,120.0,601.0,0.53,62.0,0.2,0.049,2.0,1.27,56.6
Artichokes,0.0,44.0,0.0,16.91,2.5,27.05,4.7,373.0,0.0,1.4615,4.075,9.0,0.1125,3.45,1.545,0.121,73.25,2.039,0.9305,1.0595,4.405,52.5,0.1225,1.02,36.5,83.0,247.5,291.5,0.53,13.0,0.05,0.0854999999999999,6.25,0.5800000000000001,23.1
Asian chicken or turkey garden salad,24.0,1264.0,94.0,9.42,27.0,29.1,2.0,1349.0,0.0,3.794,11.53,2.0,0.169,9.8,2.97,0.109,72.77,2.781,1.113,0.947,5.4,43.0,0.104,1.24,36.0,126.0,265.0,174.0,0.6,112.0,0.09,0.164,9.8,1.81,64.3
Asian chicken or turkey garden salad with crispy noodles,23.0,1513.0,90.0,7.91,24.0,27.6,1.9,1616.0,0.0,3.345,10.36,1.0,0.168,8.1,2.97,0.088,75.54,2.79,1.171,0.8,5.27,46.0,0.111,1.16,38.0,117.0,269.0,165.0,0.59,132.0,0.08,0.158,10.2,1.84,77.4
Asian stir fry vegetables,867.0,2313.5,1.0,9.69,1.0,17.15,2.9,657.0,0.0,0.6635,2.115,5.0,0.0805,1.0,3.655,0.0555,85.64,0.488,0.4965,0.426,1.5499999999999998,37.5,0.076,1.09,17.5,46.5,262.0,139.0,0.385,234.0,0.0,0.1805,33.6,0.785,38.8
Asparagus,3.857142857142857,467.6428571428572,0.0,2.9535714285714287,1.4285714285714286,19.1,1.8357142857142856,651.2142857142857,13.285714285714286,0.9735714285714284,2.406428571428571,7.571428571428571,0.1172142857142857,2.6,1.2242857142857144,0.0926428571428571,91.56142857142856,0.695857142857143,0.7240000000000001,0.6165714285714285,2.2207142857142856,20.5,0.1404285714285714,1.6228571428571428,12.071428571428571,49.0,186.28571428571428,164.85714285714286,0.4671428571428571,46.785714285714285,0.0,0.0855,13.621428571428572,1.3964285714285716,54.1
Asparagus soup,0.0,130.0,0.0,5.913333333333334,4.666666666666667,12.233333333333334,0.2,164.66666666666666,7.0,0.3493333333333333,2.03,22.33333333333333,0.0766666666666666,1.6,1.99,0.0396666666666666,88.30333333333334,0.52,0.7576666666666667,0.7996666666666666,2.306666666666666,53.66666666666666,0.0526666666666666,0.3233333333333333,5.333333333333333,50.0,121.33333333333331,350.6666666666667,0.4933333333333333,32.333333333333336,0.1866666666666666,0.024,1.1,0.2566666666666666,11.133333333333333
Avocado,24.0,62.0,28.0,8.53,0.0,14.2,6.7,271.0,0.0,1.738,2.0,0.0,0.13,0.4,0.66,0.067,73.23,9.799,1.816,2.126,14.66,12.0,0.19,0.55,29.0,52.0,485.0,7.0,0.64,7.0,0.0,0.257,10.0,2.07,21.0
Avocado dressing,1.0,3.0,1.0,7.36,40.0,3.6,0.1,39.0,0.0,0.14,1.9,10.0,0.05,1.6,6.67,0.02,45.03,9.423,23.165,5.978,43.33,34.0,0.01,0.35,7.0,31.0,58.0,867.0,0.25,10.0,0.26,0.01,0.2,4.6,96.7
Baby Ruth,0.0,0.0,0.0,64.8,0.0,34.9,2.0,0.0,0.0,1.251,5.4,0.0,0.121,2.5,54.0,0.058,6.99,5.557,2.638,12.1,21.6,47.0,0.225,0.63,43.0,94.0,249.0,230.0,0.72,0.0,0.06,0.042,0.0,0.93,2.3
Bacardi cocktail,0.0,0.0,0.0,16.11,0.0,0.7,0.0,0.0,0.0,0.003,0.08,0.0,0.009,0.3,16.11,0.011,75.33,0.002,0.015,0.006,0.08,2.0,0.005,0.09,1.0,6.0,22.0,77.0,0.06,0.0,0.0,0.0,2.0,0.0,0.0
Bacon,10.428571428571429,58.42857142857143,0.1428571428571428,10.481428571428571,65.14285714285714,55.471428571428575,0.6285714285714287,33.285714285714285,289.42857142857144,6.973714285714286,20.57714285714286,12.714285714285714,0.2072857142857143,32.628571428571426,1.1942857142857142,0.3715714285714285,42.88857142857143,9.339,4.488857142857143,7.456285714285714,22.268571428571427,71.28571428571429,0.0922857142857142,1.19,24.428571428571427,240.8571428571429,323.85714285714283,1076.0,1.9557142857142855,18.0,0.6628571428571429,0.339,5.057142857142857,0.7671428571428571,6.1571428571428575
Bacon and cheese sandwich,0.0,112.0,11.0,26.13,43.0,29.7,1.0,47.0,0.0,2.872,13.7,113.0,0.315,21.0,5.23,0.281,38.66,4.488,3.309,7.411,17.02,718.0,0.075,2.0,29.0,424.0,218.0,923.0,1.59,123.0,0.76,0.132,0.0,0.62,7.5
Bacon and egg sandwich,0.0,0.0,4.0,21.23,171.0,117.4,1.0,234.0,0.0,3.291,13.42,70.0,0.315,29.0,2.41,0.295,50.43,4.987,3.572,3.531,12.79,114.0,0.096,2.28,20.0,179.0,168.0,514.0,1.29,70.0,0.44,0.172,0.0,0.94,3.7
Bacon and tomato dressing,0.0,92.0,52.0,2.0,4.0,16.4,0.2,29.0,2597.0,0.7,1.8,4.0,0.02,1.6,2.0,0.04,58.7,8.415,19.584,5.435,35.0,4.0,0.03,0.27,6.0,25.0,108.0,905.0,0.2,11.0,0.09,0.08,8.8,4.0,69.1
Bacon bits,0.0,0.0,0.0,28.6,0.0,134.8,10.2,0.0,0.0,1.6,32.0,0.0,0.07,7.4,0.0,0.6,8.0,6.225,13.548,4.055,25.9,101.0,0.539,0.72,95.0,217.0,145.0,1770.0,1.87,0.0,1.2,0.08,1.9,6.9,0.0
Bacon on biscuit,0.0,0.0,0.0,37.56,14.0,12.2,2.2,0.0,0.0,4.576,10.52,17.0,0.294,17.0,3.38,0.456,27.34,4.157,2.7,11.824,20.99,62.0,0.084,2.53,17.0,463.0,178.0,1069.0,0.83,17.0,0.14,0.12,0.0,0.46,3.9
Bacon or side pork,0.0,0.0,0.0,1.7,99.0,89.5,0.0,0.0,0.0,10.457,33.92,11.0,0.232,50.7,0.0,0.56,23.65,15.53,6.112,11.964,35.09,11.0,0.105,0.95,31.0,388.0,499.0,1684.0,3.06,11.0,1.09,0.535,0.0,0.42,0.0
